1,gil,gil,0,Standard Eorzean currency.,Gil,65002,1,1
2,fire shard,fire shards,0,A tiny crystalline manifestation of aetheric fire energy.,Fire Shard,20001,1,1
3,ice shard,ice shards,1,A tiny crystalline manifestation of aetheric ice energy.,Ice Shard,20003,1,1
4,wind shard,wind shards,0,A tiny crystalline manifestation of aetheric wind energy.,Wind Shard,20004,1,1
5,earth shard,earth shards,1,A tiny crystalline manifestation of aetheric earth energy.,Earth Shard,20006,1,1
6,lightning shard,lightning shards,0,A tiny crystalline manifestation of aetheric lightning energy.,Lightning Shard,20005,1,1
7,water shard,water shards,0,A tiny crystalline manifestation of aetheric water energy.,Water Shard,20002,1,1
8,fire crystal,fire crystals,0,A crystalline manifestation of aetheric fire energy.,Fire Crystal,20007,25,1
9,ice crystal,ice crystals,1,A crystalline manifestation of aetheric ice energy.,Ice Crystal,20009,25,1
10,wind crystal,wind crystals,0,A crystalline manifestation of aetheric wind energy.,Wind Crystal,20010,25,1
11,earth crystal,earth crystals,1,A crystalline manifestation of aetheric earth energy.,Earth Crystal,20012,25,1
12,lightning crystal,lightning crystals,0,A crystalline manifestation of aetheric lightning energy.,Lightning Crystal,20011,25,1
13,water crystal,water crystals,0,A crystalline manifestation of aetheric water energy.,Water Crystal,20008,25,1
14,fire cluster,fire clusters,0,A large crystalline manifestation of aetheric fire energy.,Fire Cluster,20013,50,1
15,ice cluster,ice clusters,1,A large crystalline manifestation of aetheric ice energy.,Ice Cluster,20015,50,1
16,wind cluster,wind clusters,0,A large crystalline manifestation of aetheric wind energy.,Wind Cluster,20016,50,1
17,earth cluster,earth clusters,1,A large crystalline manifestation of aetheric earth energy.,Earth Cluster,20018,50,1
18,lightning cluster,lightning clusters,0,A large crystalline manifestation of aetheric lightning energy.,Lightning Cluster,20017,50,1
19,water cluster,water clusters,0,A large crystalline manifestation of aetheric water energy.,Water Cluster,20014,50,1
20,Storm Seal,Storm Seals,0,Grand Company currency printed and distributed by the Maelstrom.,Storm Seal,65004,1,1
21,Serpent Seal,Serpent Seals,0,Grand Company currency printed and distributed by the Order of the Twin Adder.,Serpent Seal,65005,1,1
22,Flame Seal,Flame Seals,0,Grand Company currency printed and distributed by the Immortal Flames.,Flame Seal,65006,1,1
23,Allagan tomestone of philosophy,Allagan tomestones of philosophy,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Philosophy,65012,70,1
24,Allagan tomestone of mythology,Allagan tomestones of mythology,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Mythology,65013,90,1
25,Wolf Mark,Wolf Marks,0,Currency printed and distributed by the Alliance.,Wolf Mark,65014,55,1
26,Allagan tomestone of soldiery,Allagan tomestones of soldiery,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Soldiery,65022,110,1
27,Allied Seal,Allied Seals,1,Yet another currency printed and distributed by the Eorzean Alliance. Rewarded for slaying marks specified in the Hunt.,Allied Seal,65024,1,1
28,Allagan tomestone of poetics,Allagan tomestones of poetics,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Poetics,65023,130,1
29,MGP,MGP,1,Official currency of the Manderville Gold Saucer. Redeemable only on Manderville property.,MGP,65025,1,1
30,Allagan tomestone of law,Allagan tomestones of law,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Law,65032,170,1
31,Allagan tomestone of esoterics,Allagan tomestones of esoterics,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Esoterics,65033,200,1
32,Allagan tomestone of lore,Allagan tomestones of lore,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Lore,65038,230,1
33,Allagan tomestone of scripture,Allagan tomestones of scripture,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Scripture,65041,260,1
34,Allagan tomestone of verity,Allagan tomestones of verity,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Verity,65045,310,1
35,Allagan tomestone of creation,Allagan tomestones of creation,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",Allagan Tomestone of Creation,65046,330,1
36,Allagan tomestone of mendacity,Allagan tomestones of mendacity,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on untruths gathered by the lost Allagan Empire.",Allagan Tomestone of Mendacity,65062,360,1
37,Allagan tomestone of genesis,Allagan tomestones of genesis,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on creation gathered by the lost Allagan Empire.",Allagan Tomestone of Genesis,65065,390,1
38,Allagan tomestone of goetia,Allagan tomestones of goetia,1,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on demonology gathered by the lost Allagan Empire.",Allagan Tomestone of Goetia,65066,440,1
39,,,0,,,0,0,0
40,,,0,,,0,0,0
41,,,0,,,0,0,0
42,,,0,,,0,0,0
43,,,0,,,0,0,0
44,,,0,,,0,0,0
45,,,0,,,0,0,0
46,,,0,,,0,0,0
47,,,0,,,0,0,0
48,,,0,,,0,0,0
49,,,0,,,0,0,0
50,,,0,,,0,0,0
51,,,0,,,0,0,0
52,,,0,,,0,0,0
53,,,0,,,0,0,0
54,,,0,,,0,0,0
55,,,0,,,0,0,0
56,,,0,,,0,0,0
57,,,0,,,0,0,0
58,,,0,,,0,0,0
59,,,0,,,0,0,0
60,,,0,,,0,0,0
61,,,0,,,0,0,0
62,,,0,,,0,0,0
63,,,0,,,0,0,0
64,,,0,,,0,0,0
65,,,0,,,0,0,0
66,,,0,,,0,0,0
67,,,0,,,0,0,0
68,,,0,,,0,0,0
69,,,0,,,0,0,0
70,,,0,,,0,0,0
71,,,0,,,0,0,0
72,,,0,,,0,0,0
73,,,0,,,0,0,0
74,,,0,,,0,0,0
75,,,0,,,0,0,0
76,,,0,,,0,0,0
77,,,0,,,0,0,0
78,,,0,,,0,0,0
79,,,0,,,0,0,0
80,,,0,,,0,0,0
81,,,0,,,0,0,0
82,,,0,,,0,0,0
83,,,0,,,0,0,0
84,,,0,,,0,0,0
85,,,0,,,0,0,0
86,,,0,,,0,0,0
87,,,0,,,0,0,0
88,,,0,,,0,0,0
89,,,0,,,0,0,0
90,,,0,,,0,0,0
91,,,0,,,0,0,0
92,,,0,,,0,0,0
93,,,0,,,0,0,0
94,,,0,,,0,0,0
95,,,0,,,0,0,0
96,,,0,,,0,0,0
97,,,0,,,0,0,0
98,,,0,,,0,0,0
99,,,0,,,0,0,0
100,dated bronze gladius,dated bronze gladii,0,,Dated Bronze Gladius,30409,6,1
101,dated bronze dagger,dated bronze daggers,0,,Dated Bronze Dagger,30411,9,1
102,dated bronze spatha,dated bronze spathae,0,,Dated Bronze Spatha,30401,11,1
103,dated blinding dagger,dated blinding daggers,0,,Dated Blinding Dagger,30414,14,1
104,dated silencing dagger,dated silencing daggers,0,,Dated Silencing Dagger,30414,14,1
105,dated brass gladius,dated brass gladii,0,,Dated Brass Gladius,30403,16,1
106,dated brass dagger,dated brass daggers,0,,Dated Brass Dagger,30413,19,1
107,dated paralyzing dagger,dated paralyzing daggers,0,,Dated Paralyzing Dagger,30414,24,1
108,dated sleeping dagger,dated sleeping daggers,0,,Dated Sleeping Dagger,30414,24,1
109,dated ash macuahuitl,dated ash macuahuimeh,0,,Dated Ash Macuahuitl,30417,25,1
110,dated iron gladius,dated iron gladii,0,,Dated Iron Gladius,30410,26,1
